# timestamp tx ty tz qx qy qz qw
1728778920.695990 -12.273296 -13.128662 0.000000 0.000000 0.000000 -0.932578 0.360968
1728778949.848684 -26.453501 -10.703999 0.000000 0.000000 0.000000 0.999973 0.007304
1728778967.072829 -39.105171 -8.568128 0.000000 0.000000 0.000000 0.709153 0.705054
1728778985.849836 -39.236176 -3.333334 0.000000 0.000000 0.000000 0.906813 0.421532
1728778993.201955 -39.225086 -5.246259 0.000000 0.000000 0.000000 0.863337 0.504628
1728779014.170031 -28.741495 6.022435 0.000000 0.000000 0.000000 0.145407 0.989372
1728779024.770754 -2.126379 3.602421 0.000000 0.000000 0.000000 -0.119307 0.992857
1728779091.519145 -1.624631 15.733135 0.000000 0.000000 0.000000 0.999464 0.032750
1728779105.636600 -11.135965 16.083645 0.000000 0.000000 0.000000 -0.980422 0.196908
1728779110.700502 -20.529335 10.438544 0.000000 0.000000 0.000000 -0.730784 0.682609
