# index x y theta
0.000000 34 1.5 -1.57
1.000000 34.185745 -8.651408 -2.714165
2.000000 22.785009 -9.401625 3.071082
3.000000 8.063141 -9.347036 3.025281
4.000000 -4.199944 -6.836853 1.724244
5.000000 4.848665 6.255635 0.689721
6.000000 32.758492 5.422020 -0.320955
7.000000 33.696831 -1.015858 2.467647
8.000000 33.442764 17.326195 3.106694
9.000000 22.036215 17.916868 2.606577
10.000000 14.199936 12.278524 -1.610793
