# timestamp tx ty tz qx qy qz qw
110.950000 0.758183 -1.343907 0.000000 0.000000 0.000000 -0.501927 0.864910
124.044000 4.525880 1.021538 0.000000 0.000000 0.000000 -0.098539 0.995133
130.995000 7.650748 -1.131733 0.000000 0.000000 0.000000 -0.382684 0.923879
157.258000 7.650748 -3.363782 0.000000 0.000000 0.000000 -0.943628 0.331007
166.189000 0.980861 -3.888969 0.000000 0.000000 0.000000 -0.979048 0.203629
175.134000 -2.327823 -1.289290 0.000000 0.000000 0.000000 0.977883 0.209154
182.695000 -5.483726 0.016518 0.000000 0.000000 0.000000 0.961838 0.273619
193.780000 -7.949611 0.382742 0.000000 0.000000 0.000000 -0.894427 0.447213
198.896000 -8.788972 -1.475068 0.000000 0.000000 0.000000 -0.560629 0.828067
206.872000 -4.998480 -3.649310 0.000000 0.000000 0.000000 0.328599 0.944470
226.100000 -0.479889 2.844992 0.000000 0.000000 0.000000 0.643684 0.765291
246.980000 1.816518 3.941474 0.000000 0.000000 0.000000 0.464107 0.885779
