# index x y theta
0 0.604208 -2.962620 -0.431629
1 2.016988 -3.422554 -1.325354
2 4.041056 -6.050859 -0.579306
3 6.683547 0.908207 2.699966
4 2.308269 1.780588 2.981596
5 -1.307538 5.167706 3.068516
6 -6.461700 5.967202 -2.208546
7 -6.848001 -1.289134 -0.524147
8 -2.804750 -3.206816 -0.056238
9 -0.804263 -1.024601 0.514146
