# timestamp tx ty tz qx qy qz qw
1718644892.396657 -0.022203 9.030928 0.000000 0.000000 0.000000 -0.007101 0.999975
1718644941.851094 6.606037 10.464649 0.000000 0.000000 0.000000 0.160574 0.987024
1718644952.957758 8.437953 14.938509 0.000000 0.000000 0.000000 -0.907010 0.421109
1718644979.657872 5.290425 3.786102 0.000000 0.000000 0.000000 -0.866126 0.499826
1718644996.029801 4.771682 -8.865417 0.000000 0.000000 0.000000 -0.098142 0.995172
1718644999.382879 8.591273 -3.574131 0.000000 0.000000 0.000000 0.597250 0.802055
1718645019.317802 -4.450027 -8.886150 0.000000 0.000000 0.000000 0.881863 0.471506
1718645029.014906 -4.452588 3.848103 0.000000 0.000000 0.000000 0.572295 0.820047
1718645041.659097 0.056891 9.959343 0.000000 0.000000 0.000000 0.422741 0.906251
1718645059.696845 5.198035 -14.922376 0.000000 0.000000 0.000000 -0.640995 0.767545
1718645067.190612 4.758308 -22.996359 0.000000 0.000000 0.000000 -0.070491 0.997512
1718645070.128682 8.711964 -17.255310 0.000000 0.000000 0.000000 0.547147 0.837037
1718645075.701143 4.332743 -28.028866 0.000000 0.000000 0.000000 -0.956976 0.290166
1718645079.826203 0.433145 -24.595369 0.000000 0.000000 0.000000 -0.999457 0.032955
1718645083.681060 -7.851547 -25.836300 0.000000 0.000000 0.000000 -0.928686 0.370867
1718645093.004381 -4.841663 -24.011251 0.000000 0.000000 0.000000 0.733993 0.679157
1718645096.138924 -8.690130 -17.674658 0.000000 0.000000 0.000000 0.820792 0.571228
1718645114.452453 -0.330415 -14.523378 0.000000 0.000000 0.000000 0.087622 0.996154
1718645118.398225 -8.262375 -5.254344 0.000000 0.000000 0.000000 0.761965 0.647618
1718645160.087803 0.101047 9.070583 0.000000 0.000000 0.000000 -0.026599 0.999646
