# timestamp tx ty tz qx qy qz qw
3817.574000 5.479035 -4.458022 0.000000 -0.000000 0.000000 1.000000 -0.000000
3826.385000 1.909191 -7.634340 0.000000 0.000000 0.000000 -0.722983 0.690866
3837.252000 -1.407672 -7.887321 0.000000 0.000000 0.000000 -0.941469 0.337100
3854.493000 -4.841336 -4.665292 0.000000 0.000000 0.000000 0.999972 0.007500
3859.940000 -8.993698 -7.864013 0.000000 0.000000 0.000000 0.542016 0.840368
3879.764000 5.588747 -0.886052 0.000000 0.000000 0.000000 -0.100818 0.994905
3885.378000 1.265649 1.399661 0.000000 0.000000 0.000000 0.282598 0.959239
3889.208000 9.408053 2.598787 0.000000 0.000000 0.000000 0.882274 0.470737
3936.152000 7.477612 8.840535 0.000000 0.000000 0.000000 -0.436852 0.899534
3951.800000 2.128083 6.418801 0.000000 0.000000 0.000000 0.771414 0.636334
3958.526000 -1.440374 8.412072 0.000000 0.000000 0.000000 -0.721934 0.691962
3962.989000 -8.014188 8.707473 0.000000 0.000000 0.000000 0.986660 0.162792
3968.097000 -5.507996 5.240192 0.000000 0.000000 0.000000 0.001590 0.999999
4007.698000 -0.901874 1.207278 0.000000 0.000000 0.000000 -0.853011 0.521893
4013.136000 -5.753508 -1.756055 0.000000 0.000000 0.000000 0.513472 0.858107
4016.079000 -9.320978 2.176940 0.000000 0.000000 0.000000 0.034562 0.999403
4024.420000 1.429783 -2.650953 0.000000 0.000000 0.000000 -0.551822 0.833962
