# timestamp tx ty tz qx qy qz qw
169.541000 -39.985188 14.005629 0.000000 0.000000 0.000000 0.000000 1.000000
182.935000 -36.402248 5.881633 0.000000 0.000000 0.000000 -0.712068 0.702110
193.587000 -31.490561 9.166484 0.000000 0.000000 0.000000 0.828067 0.560629
201.055000 -17.560261 10.880130 0.000000 0.000000 0.000000 0.546813 0.837254
217.821000 -12.894897 12.037331 0.000000 0.000000 0.000000 0.707107 0.707107
221.378000 -11.324472 0.044993 0.000000 0.000000 0.000000 -0.707107 0.707107
230.678000 -12.181068 -8.949258 0.000000 0.000000 0.000000 -0.990334 0.138701
245.758000 -25.433483 -9.089166 0.000000 0.000000 0.000000 -0.999932 0.011626
258.220000 -36.390667 -9.280479 0.000000 0.000000 0.000000 0.748045 0.663647
272.369000 -39.348904 1.642239 0.000000 0.000000 0.000000 0.969353 0.245670
311.215000 -36.390671 -20.582455 0.000000 0.000000 0.000000 -0.918320 0.395839
315.986000 -41.700325 -26.726482 0.000000 0.000000 0.000000 0.603843 0.797103
319.970000 -31.536129 -25.436998 0.000000 0.000000 0.000000 0.262014 0.965064
323.477000 -16.744949 -20.734165 0.000000 0.000000 0.000000 0.608288 0.793716
326.674000 -10.752628 -15.500360 0.000000 0.000000 0.000000 0.390498 0.920604
331.362000 -16.593246 -9.887299 0.000000 0.000000 0.000000 0.982660 0.185414
344.459000 -12.628242 6.065797 0.000000 -0.000000 0.000000 1.000000 -0.000000
353.555000 -36.264729 9.555483 0.000000 0.000000 0.000000 0.804389 0.594102
